,year,month,Psurf,Precip,Wind,station_name,LWdown,Tair
111,2020,4,100.0,100.0,100.0,GF-Guy,,
112,2020,5,100.0,100.0,100.0,GF-Guy,,
113,2020,6,100.0,100.0,100.0,GF-Guy,,
114,2020,7,100.0,100.0,100.0,GF-Guy,,
115,2020,8,100.0,100.0,100.0,GF-Guy,,
116,2020,9,100.0,100.0,100.0,GF-Guy,,
117,2020,10,100.0,100.0,100.0,GF-Guy,,
118,2020,11,100.0,100.0,100.0,GF-Guy,,
119,2020,12,100.0,100.0,100.0,GF-Guy,,
120,2020,1,100.0,100.0,100.0,BE-Bra,,
121,2020,2,100.0,100.0,100.0,BE-Bra,,
122,2020,3,100.0,100.0,100.0,BE-Bra,,
123,2020,4,100.0,100.0,100.0,BE-Bra,,
124,2020,5,100.0,100.0,100.0,BE-Bra,,
125,2020,6,100.0,100.0,100.0,BE-Bra,,
126,2020,7,100.0,100.0,100.0,BE-Bra,,
127,2020,8,100.0,100.0,100.0,BE-Bra,,
128,2020,9,100.0,100.0,100.0,BE-Bra,,
129,2020,10,100.0,100.0,100.0,BE-Bra,,
130,2020,11,100.0,100.0,100.0,BE-Bra,,
131,2020,12,100.0,100.0,100.0,BE-Bra,,
132,2020,1,100.0,100.0,100.0,CZ-BK1,,
133,2020,2,100.0,100.0,100.0,CZ-BK1,,
134,2020,3,100.0,100.0,100.0,CZ-BK1,,
135,2020,4,100.0,100.0,100.0,CZ-BK1,,
136,2020,5,100.0,100.0,100.0,CZ-BK1,,
137,2020,6,100.0,100.0,100.0,CZ-BK1,,
138,2020,7,100.0,100.0,100.0,CZ-BK1,,
139,2020,8,100.0,100.0,100.0,CZ-BK1,,
140,2020,9,100.0,100.0,100.0,CZ-BK1,,
141,2020,10,100.0,100.0,100.0,CZ-BK1,,
142,2020,11,100.0,100.0,100.0,CZ-BK1,,
143,2020,12,100.0,100.0,100.0,CZ-BK1,,
144,2020,1,100.0,100.0,100.0,CZ-RAJ,,
145,2020,2,100.0,100.0,100.0,CZ-RAJ,,
146,2020,3,100.0,100.0,100.0,CZ-RAJ,,
147,2020,4,100.0,100.0,100.0,CZ-RAJ,,
148,2020,5,100.0,100.0,100.0,CZ-RAJ,,
149,2020,6,100.0,100.0,100.0,CZ-RAJ,,
150,2020,7,100.0,100.0,100.0,CZ-RAJ,,
151,2020,8,100.0,100.0,100.0,CZ-RAJ,,
152,2020,9,100.0,100.0,100.0,CZ-RAJ,,
153,2020,10,100.0,100.0,100.0,CZ-RAJ,,
154,2020,11,100.0,100.0,100.0,CZ-RAJ,,
155,2020,12,100.0,100.0,100.0,CZ-RAJ,,
156,2020,1,100.0,100.0,100.0,FI-Hyy,,
157,2020,2,100.0,100.0,100.0,FI-Hyy,,
158,2020,3,100.0,100.0,100.0,FI-Hyy,,
159,2020,4,100.0,100.0,100.0,FI-Hyy,,
160,2020,5,100.0,100.0,100.0,FI-Hyy,,
161,2020,6,100.0,100.0,100.0,FI-Hyy,,
162,2020,7,100.0,100.0,100.0,FI-Hyy,,
163,2020,8,100.0,100.0,100.0,FI-Hyy,,
164,2020,9,100.0,100.0,100.0,FI-Hyy,,
165,2020,10,100.0,100.0,100.0,FI-Hyy,,
166,2020,11,100.0,100.0,100.0,FI-Hyy,,
167,2020,12,100.0,100.0,100.0,FI-Hyy,,
168,2020,1,100.0,100.0,100.0,FI-Ken,100.0,
169,2020,2,100.0,100.0,100.0,FI-Ken,100.0,
170,2020,3,100.0,100.0,100.0,FI-Ken,100.0,
171,2020,4,100.0,100.0,100.0,FI-Ken,100.0,
172,2020,5,100.0,100.0,100.0,FI-Ken,100.0,
173,2020,6,100.0,100.0,100.0,FI-Ken,100.0,
174,2020,7,100.0,100.0,100.0,FI-Ken,100.0,
175,2020,8,100.0,100.0,100.0,FI-Ken,100.0,
176,2020,9,100.0,100.0,100.0,FI-Ken,100.0,
