station_name,latitude,longitude,elevation,height_canopy_ETH,sd_height_canopy,height_canopy_field_information,measurement_height,IGBP_long_name,IGBP_short_name,Remarks for height_canopy and measurement_height
SE-Htm,56.09763,13.41897,120.5034714,32,7,19,27,Evergreen Needleleaf Forests,ENF,https://www.sciencedirect.com/science/article/pii/S0034425722004308
SE-Nor,60.0865,17.479504,46,27,8,25,36,Evergreen Needleleaf Forests,ENF,https://www.sciencedirect.com/science/article/pii/S0034425722004308
SE-Ros,64.1725,19.738,168.961441,31,10,14,23.3,Evergreen Needleleaf Forests,ENF,https://www.sciencedirect.com/science/article/pii/S0034425722004308
SE-Svb,64.25611,19.7745,277.8584595,12,9,20,32.5,Evergreen Needleleaf Forests,ENF,https://www.sciencedirect.com/science/article/pii/S0034425722004308
BE-Dor,50.311874,4.968113,246.6483459,10,9,0.1,1.5,Grasslands,GRA,https://www.sciencedirect.com/science/article/pii/S0034425722004308
CH-Aws,46.583194,9.790417,1976.19458,4,4,0.5,2,Grasslands,GRA,https://www.sciencedirect.com/science/article/pii/S0034425722004308
CH-Cha,47.210222,8.410444,391.412323,15,10,1,2,Grasslands,GRA,https://www.sciencedirect.com/science/article/pii/S0034425722004308
CH-Fru,47.115833,8.537778,981.6561279,5,5,1,2,Grasslands,GRA,https://www.sciencedirect.com/science/article/pii/S0034425722004308
DE-Gri,50.95004,13.51259,377.0952759,6,6,0.21,3,Grasslands,GRA,https://www.sciencedirect.com/science/article/pii/S0034425722004308
DE-RuR,50.621914,6.304126,513.3651733,5,4,1,2,Grasslands,GRA,https://www.sciencedirect.com/science/article/pii/S0034425722004308
FR-Tou,43.572857,1.37474,157.2071838,4,3,0.25,3.7,Grasslands,GRA,By request from meteo.fr
IT-MBo,46.01468,11.045831,1556.345093,0,0,0.3,4,Grasslands,GRA,https://www.sciencedirect.com/science/article/pii/S0034425722004308
IT-Tor,45.84444,7.578055,2161.397705,9,7,1,2,Grasslands,GRA,https://www.sciencedirect.com/science/article/pii/S0034425722004308
NL-Cab,51.971,4.927,-0.7,0,1,0.1,3,Grasslands,GRA,https://cdn.knmi.nl/knmi/pdf/bibliotheek/knmipubTR/TR384.pdf
NL-Vee,51.981,5.62,5.7,14,8,0.1,2,Grasslands,GRA,https://doi.org/10.1007/s10546-024-00871-z 
BE-Bra,51.30761,4.51984,32.03133392,5,6,21,39,Mixed Forests,MF,model evaluation  (https://modelevaluation.org/dataSet/display/jkFQ3bTQwACtxPuaw)
BE-Vie,50.304962,5.998099,493.235199,23,7,33,52,Mixed Forests,MF,https://www.sciencedirect.com/science/article/pii/S0034425722004308
FR-FBn,43.24079,5.67865,434.526062,35,7,10,15,Mixed Forests,MF,https://www.sciencedirect.com/science/article/pii/S0034425722004308
IT-Cp2,41.704266,12.357293,18.41332436,18,5,,20,Mixed Forests,MF,NA
ES-Agu,36.940046,-2.033208,201.7076569,0,0,,2.9,Open Shrublands,OSH,NA
ES-LJu,36.926594,-2.752115,1613.89502,0,0,1,2.5,Open Shrublands,OSH,https://www.sciencedirect.com/science/article/pii/S0034425722004308
IT-Lsn,45.740482,12.750297,-0.184282228,5,4,2,5,Open Shrublands,OSH,https://www.sciencedirect.com/science/article/pii/S0034425722004308
ES-Abr,38.701839,-6.785881,279.9830627,0,0,8,15,Savannas,SAV,https://www.sciencedirect.com/science/article/pii/S0034425722004308
ES-LM1,39.94269,-5.778683,264.1048584,0,1,8,15,Savannas,SAV,https://www.sciencedirect.com/science/article/pii/S0034425722004308
ES-LM2,39.934592,-5.775881,268.6992188,0,1,8,15,Savannas,SAV,https://www.sciencedirect.com/science/article/pii/S0034425722004308
CZ-wet,49.0247,14.7704,1180.554932,6,8,0.3,2,Permanent Wetlands,WET,https://www.sciencedirect.com/science/article/pii/S0034425722004308
DE-Akm,53.86617,13.68342,0.24140045,13,6,4,,Permanent Wetlands,WET,NA
FI-Sii,61.83265,24.19285,166.5739288,4,2,0.3,2,Permanent Wetlands,WET,https://www.sciencedirect.com/science/article/pii/S0034425722004308
FR-LGt,47.322918,2.284102,154.7416992,15,7,1,2,Permanent Wetlands,WET,https://www.sciencedirect.com/science/article/pii/S0034425722004308
SE-Deg,64.18203,19.55654,265.4534607,3,2,0.3,1.75,Permanent Wetlands,WET,https://www.sciencedirect.com/science/article/pii/S0034425722004308
ES-Cnd,37.914998,-3.227659,367.7266235,0,0,8,15,Woody Savannas,WSA,https://www.sciencedirect.com/science/article/pii/S0034425722004308
