Column1,dewpoint_temperature_2m,surface_pressure,surface_solar_radiation_downwards,surface_thermal_radiation_downwards,temperature_2m,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m
"'2016-07-07T07:00:00',",284.225,"102,191.97","1,909,976","7,478,425",288.36,0,0.112,1.889
"'2016-07-07T08:00:00',",283.771,"102,157.78","3,210,196","8,673,121",289.469,0,-0.037,2.199
"'2016-07-07T13:00:00',",284.383,"101,966.70","14,908,442","14,828,739",293.961,0,1.709,2.839
"'2016-07-07T14:00:00',",284.464,"101,940.90","16,300,766","16,148,420",293.852,0,1.88,2.487
"'2016-07-07T15:00:00',",284.974,"101,931.75","17,302,170","17,516,514",293.747,0,1.976,2.165
"'2016-07-07T16:00:00',",285.307,"101,888.57","18,452,536","18,838,890",293.992,0,2.094,1.891
"'2016-07-07T17:00:00',",286.24,"101,843.53","19,379,642","20,168,192",294.029,0,1.359,1.425
"'2016-07-07T18:00:00',",287.336,"101,798.60","20,015,674","21,481,195",293.732,0,0.643,1.195
"'2016-07-07T19:00:00',",287.199,"101,780.20","20,248,854","22,826,355",292.364,0,-0.822,1.294
"'2016-07-07T20:00:00',",286.704,"101,761.47","20,309,256","24,101,641",291.229,0,-1.039,1.69
"'2016-07-07T21:00:00',",286.201,"101,749.50","20,309,256","25,377,911",290.459,0,-0.91,1.846
"'2016-07-07T22:00:00',",285.934,"101,734.46","20,309,256","26,656,934",289.954,0,-0.583,1.856
"'2016-07-07T23:00:00',",285.784,"101,704.64","20,309,256","27,922,684",289.478,0,-0.356,1.977
"'2016-07-08T00:00:00',",285.668,"101,665.25","20,309,256","29,199,939",289.245,0,-0.057,2.206
"'2016-07-08T05:00:00',",286.955,"101,423.32","164,076","6,368,317.63",288.914,0,1.529,1.637
"'2016-07-08T06:00:00',",287.425,"101,448.06","605,776","7,640,014",289.793,0,1.996,1.292
"'2016-07-12T00:00:00',",285.799,"101,051.80","17,133,892","31,119,288",289.371,0.001,2.951,2.767
"'2016-07-12T01:00:00',",285.835,"101,022.90",0,"1,183,951.63",289.008,0,2.941,2.848
"'2016-07-12T02:00:00',",285.922,"101,029.51",0,"2,408,676.13",288.815,0,3.126,2.616
"'2016-07-12T03:00:00',",286.057,"101,009.86",0,"3,618,198.81",288.42,0,3.102,2.285
"'2016-07-12T04:00:00',",286.263,"101,012.68","6,955","4,855,930",288.208,0,3.05,2.135
"'2016-07-12T05:00:00',",286.588,"101,064.60","156,045","6,142,921.56",288.533,0,2.881,2.098
"'2016-07-12T06:00:00',",286.611,"101,101.21","547,476","7,463,391",289.197,0,4.117,2.032
"'2016-07-12T07:00:00',",287.351,"101,162.90","1,257,576","8,793,992",289.913,0,3.102,2.006
"'2016-07-12T08:00:00',",287.666,"101,170.71","2,142,798","10,144,778",290.5,0,2.75,2.105
"'2016-07-12T09:00:00',",288.117,"101,171.53","3,574,966","11,485,920",291.352,0,2.617,2.277
"'2016-07-12T10:00:00',",288.526,"101,152.97","5,477,970","12,849,281",292.221,0,2.557,2.211
"'2016-07-12T11:00:00',",288.346,"101,104.56","7,433,102","14,179,334",292.826,0.001,2.422,2.157
"'2016-07-12T12:00:00',",288.183,"101,124.50","9,687,108","15,484,458",293.415,0.001,3.34,1.331
"'2016-07-12T13:00:00',",287.771,"101,098.15","11,632,426","16,766,106",292.326,0.002,3.411,0.376
"'2016-07-12T14:00:00',",288.345,"101,113.39","13,681,424","18,017,948",292.773,0.002,2.62,1.009
"'2016-07-12T15:00:00',",287.903,"101,088.64","15,022,358","19,364,791",291.544,0.004,2.641,0.928
"'2016-07-12T16:00:00',",287.331,"101,117.90","16,419,826","20,639,332",291.038,0.004,2.808,-0.166
"'2016-07-12T17:00:00',",287.033,"101,158.07","17,084,368","21,960,796",290.138,0.006,2.416,0.245
"'2016-07-12T18:00:00',",286.898,"101,169.95","17,608,454","23,252,921",290.247,0.006,1.933,0.396
"'2016-07-12T19:00:00',",286.802,"101,185.10","17,872,792","24,496,249",289.738,0.006,1.515,0.05
"'2016-07-12T20:00:00',",286.691,"101,221.77","17,928,090","25,698,524",289.153,0.006,1.476,0.306
"'2016-07-12T21:00:00',",286.702,"101,236.59","17,928,090","26,832,433",287.993,0.006,1.114,0.563
"'2016-07-12T22:00:00',",286.202,"101,236.45","17,928,090","28,002,421",287.104,0.006,0.817,1.053
"'2016-07-12T23:00:00',",285.939,"101,212.14","17,928,090","29,190,373",286.923,0.006,0.821,1.525
"'2016-07-13T00:00:00',",285.517,"101,193.80","17,928,090","30,323,396",286.465,0.006,0.816,1.73
"'2016-07-13T01:00:00',",285.301,"101,181.01",0,"1,158,312.56",286.39,0,0.942,1.717
"'2016-07-13T02:00:00',",284.923,"101,178.75",0,"2,273,732.13",286.099,0,1.103,1.844
"'2016-07-13T03:00:00',",284.71,"101,174.00",0,"3,405,050.44",285.901,0,1.285,1.724
"'2016-07-13T04:00:00',",284.492,"101,161.63","7,036","4,522,751.88",285.6,0,1.399,1.605
"'2016-07-13T05:00:00',",284.797,"101,164.51","204,399","5,635,114.38",285.926,0,1.441,1.284
"'2016-07-13T06:00:00',",285.24,"101,197.52","763,276","6,809,699",286.989,0,1.814,1.039
"'2016-07-13T07:00:00',",285.858,"101,230.03","1,583,346","7,997,097",287.825,0,1.852,1.291
"'2016-07-13T08:00:00',",285.831,"101,235.57","2,598,430","9,246,767",288.748,0,1.207,1.32
"'2016-07-13T09:00:00',",285.734,"101,239.94","3,901,570","10,499,263",289.576,0,0.965,1.4
"'2016-07-13T10:00:00',",285.52,"101,261.44","4,874,736","11,820,961",289.86,0.001,1.332,1.129
"'2016-07-13T11:00:00',",285.933,"101,245.93","6,024,482","13,112,007",289.807,0.002,2.147,0.011
"'2016-07-13T12:00:00',",286.601,"101,298.19","7,142,214","14,433,408",289.495,0.005,2.235,-1.512
"'2016-07-13T13:00:00',",286.775,"101,292.43","8,482,792","15,745,367",289.879,0.006,2.075,-2.921
"'2016-07-13T14:00:00',",287.328,"101,312.34","9,940,366","17,008,786",290.212,0.006,1.94,-3.526
"'2016-07-13T15:00:00',",287,"101,318.32","11,483,488","18,272,470",290.304,0.006,1.896,-4.113
"'2016-07-13T16:00:00',",285.34,"101,381.72","12,632,304","19,589,580",289.958,0.007,1.99,-4.399
"'2016-07-13T17:00:00',",283.706,"101,435.12","13,670,610","20,837,929",289.903,0.007,2.008,-4.206
"'2016-07-13T18:00:00',",283.062,"101,485.11","14,389,436","22,016,587",289.514,0.007,2.013,-3.442
"'2016-07-13T19:00:00',",282.728,"101,630.65","14,705,286","23,161,327",288.651,0.007,2.071,-2.599
"'2016-07-13T20:00:00',",282.703,"101,685.47","14,756,552","24,281,662",287.646,0.007,1.96,-1.926
"'2016-07-13T21:00:00',",282.86,"101,758.80","14,756,552","25,343,562",286.618,0.007,1.879,-1.361
"'2016-07-13T22:00:00',",283.038,"101,774.33","14,756,552","26,416,805",285.939,0.007,2.057,-0.805
"'2016-07-13T23:00:00',",283.182,"101,775.22","14,756,552","27,486,603",285.352,0.007,2.235,-0.548
"'2016-07-14T00:00:00',",283.292,"101,767.07","14,756,552","28,536,115",284.87,0.007,2.292,-0.438
"'2016-07-14T01:00:00',",283.238,"101,770.36",0,"1,039,600.94",284.51,0,2.33,-0.331
"'2016-07-14T02:00:00',",283.155,"101,746.90",0,"2,077,439.75",284.278,0,2.274,-0.28
"'2016-07-14T03:00:00',",283.089,"101,753.02",0,"3,145,191.56",284.213,0,2.184,-0.314
"'2016-07-14T04:00:00',",282.916,"101,751.77","7,524","4,190,598.88",284.034,0,2.198,-0.339
"'2016-07-14T05:00:00',",283.323,"101,776.54","220,538","5,258,935.94",284.7,0,1.877,-0.4
"'2016-07-14T06:00:00',",283.813,"101,818.81","814,564","6,340,106",286.304,0,1.962,-0.608
"'2016-07-14T07:00:00',",283.217,"101,863.98","1,773,348","7,464,427",287.576,0,2.255,-1.433
"'2016-07-14T08:00:00',",282.571,"101,901.91","3,184,684","8,592,511",288.364,0,2.343,-2.198
"'2016-07-14T09:00:00',",282.332,"101,904.61","5,170,786","9,715,737",289.089,0,2.825,-2.455
"'2016-07-14T10:00:00',",281.866,"101,921.86","7,609,070","10,852,908",289.781,0,3.202,-2.857
"'2016-07-14T11:00:00',",281.715,"101,933.40","9,986,022","12,041,016",290.07,0.001,3.265,-3.179
"'2016-07-14T12:00:00',",281.468,"101,965.88","12,393,902","13,240,431",290.477,0.001,3.269,-3.358
"'2016-07-14T13:00:00',",281.272,"101,981.91","14,582,620","14,457,822",290.642,0.001,3.272,-3.674
"'2016-07-14T14:00:00',",281.282,"101,981.20","16,939,358","15,657,024",290.928,0.001,3.248,-4.022
"'2016-07-14T15:00:00',",281.453,"102,015.38","18,565,616","16,867,804",290.703,0.001,3.122,-4.033
"'2016-07-14T16:00:00',",281.756,"102,033.79","19,997,772","18,127,763",290.554,0.001,3.343,-4.086
"'2016-07-14T17:00:00',",282.624,"102,071.88","21,074,360","19,344,503",289.913,0.001,3.273,-3.799
"'2016-07-14T18:00:00',",283.34,"102,116.29","21,696,156","20,586,174",289.182,0.001,2.962,-3.102
"'2016-07-14T23:00:00',",283.04,"102,297.43","22,050,448","26,081,654",285.726,0.001,3.248,-1.141
"'2016-07-15T00:00:00',",283.051,"102,325.63","22,050,448","27,142,446",285.422,0.001,3.282,-1.011
"'2016-07-22T03:00:00',",290.345,"101,541.60",0,"3,792,262.81",290.4,0,0.564,-1.032
"'2016-07-22T04:00:00',",290.071,"101,544.88","1,310","5,081,947.69",290.092,0,0.456,-1.158
"'2016-07-22T05:00:00',",290.554,"101,573.04","139,137","6,367,244.50",290.601,0,0.151,-0.947
"'2016-07-22T06:00:00',",291.191,"101,595.83","578,662","7,684,098",292.087,0,0.131,-1.006
"'2016-07-22T07:00:00',",291.884,"101,702.60","1,065,176","9,110,037",292.554,0,0.436,-0.081
"'2016-07-22T08:00:00',",291.907,"101,669.47","1,781,980","10,532,089",292.99,0.001,1.025,-0.116
"'2016-07-22T09:00:00',",291.22,"101,660.64","3,054,834","11,975,725",294.206,0.001,1.288,0.038
"'2016-07-22T10:00:00',",291.053,"101,623.59","4,403,602","13,383,437",294.945,0.001,0.341,-0.721
"'2016-07-27T17:00:00',",289.05,"101,484.96","13,189,326","22,766,033",292.491,0.001,2.67,1.951
"'2016-07-27T18:00:00',",289.15,"101,463.32","13,337,978","24,191,972",292.23,0.001,2.719,1.877
"'2016-07-27T19:00:00',",289.229,"101,538.79","13,403,022","25,606,422",291.533,0.002,2.871,1.226
"'2016-07-30T12:00:00',",289.03,"101,183.43","7,991,186","15,483,481",294.671,0.001,2.693,1.483
"'2016-07-31T00:00:00',",288.429,"101,260.59","14,516,030","31,868,234",289.147,0.011,1.292,0.184
"'2016-07-31T01:00:00',",288.155,"101,223.51",0,"1,290,121.94",288.813,0,1.318,0.336
"'2016-07-31T02:00:00',",288.046,"101,202.01",0,"2,581,577.63",288.605,0,1.372,0.229
"'2016-07-31T03:00:00',",287.85,"101,196.09",0,"3,827,859.75",288.309,0.001,1.589,-0.103
"'2016-07-31T04:00:00',",287.782,"101,191.66",0,"5,081,744.56",288.171,0.001,1.557,-0.539
"'2016-07-31T05:00:00',",288.022,"101,190.97","68,831","6,358,937",288.575,0.001,1.292,-0.752
"'2016-07-31T06:00:00',",288.265,"101,222.70","359,830","7,613,402",289.26,0.001,1.087,-0.909
"'2016-07-31T07:00:00',",288.082,"101,294.75","831,158","8,908,351",289.85,0.001,1.665,-0.756
"'2016-07-31T08:00:00',",287.83,"101,316.40","1,673,954","10,218,617",290.582,0.001,2.111,-1.145
"'2016-07-31T09:00:00',",288.118,"101,336.64","2,904,454","11,527,911",291.259,0.001,2.373,-1.127
"'2016-07-31T10:00:00',",288.271,"101,339.77","4,835,390","12,832,569",292.269,0.001,2.662,-1.005
"'2016-07-31T11:00:00',",287.964,"101,324.27","6,713,280","14,168,196",292.774,0.001,2.969,-0.911
"'2016-07-31T12:00:00',",287.451,"101,371.63","8,416,582","15,495,112",292.941,0.001,3.251,-1.03
"'2016-07-31T13:00:00',",286.229,"101,410.12","9,584,094","16,833,497",291.789,0.001,3.434,-1.355
"'2016-07-31T14:00:00',",285.705,"101,431.36","10,630,416","18,142,954",291.94,0.001,3.469,-1.73
"'2016-07-31T15:00:00',",285.376,"101,473.01","11,961,282","19,459,393",292.23,0.001,3.764,-2.325
"'2016-07-31T16:00:00',",284.834,"101,481.91","13,143,020","20,725,329",291.845,0.001,3.774,-2.659
"'2016-07-31T17:00:00',",284.771,"101,547.60","14,078,442","21,891,211",291.349,0.001,3.347,-2.432
"'2016-07-31T18:00:00',",284.761,"101,574.16","14,738,500","23,079,266",290.837,0.001,2.868,-1.88
"'2016-07-31T19:00:00',",284.47,"101,655.65","14,990,530","24,240,410",290.107,0.001,2.74,-1.478
"'2016-07-31T20:00:00',",284.445,"101,713.84","15,003,170","25,356,072",289.003,0.001,2.309,-1.085
"'2016-07-31T21:00:00',",284.67,"101,728.61","15,003,170","26,478,958",288.263,0.001,2.036,-0.416
"'2016-07-31T22:00:00',",284.856,"101,727.14","15,003,170","27,613,564",287.754,0.001,2.063,0.419
"'2016-07-31T23:00:00',",284.892,"101,729.27","15,003,170","28,713,443",287.188,0.001,2.127,0.823
"'2016-08-01T00:00:00',",284.925,"101,745.93","15,003,170","29,864,774",287.102,0.001,2.164,0.953
"'2016-08-02T12:00:00',",287.207,"101,200.25","1,836,292","16,069,090",289.362,0.004,-1.028,3.732
"'2016-08-02T13:00:00',",288.086,"101,175.50","2,133,330","17,474,679",289.694,0.004,-0.257,3.598
"'2016-08-02T14:00:00',",288.987,"101,157.89","2,523,464","18,890,475",290.444,0.005,1.421,3.522
"'2016-08-02T15:00:00',",289.624,"101,105.44","2,668,428","20,316,972",290.609,0.005,1.74,2.949
"'2016-08-02T16:00:00',",289.953,"101,108.10","2,807,262","21,751,787",290.901,0.005,2.024,3.055
"'2016-08-02T17:00:00',",290.069,"101,089.20","2,876,850","23,190,752",290.885,0.005,1.845,2.885
"'2016-08-02T18:00:00',",290.171,"101,080.46","2,935,960","24,631,370",290.803,0.006,1.812,2.971
"'2016-08-02T19:00:00',",290.261,"101,099.13","2,950,734","26,075,266",290.578,0.006,1.61,3.023
"'2016-08-02T20:00:00',",290.254,"101,113.36","2,951,522","27,518,864",290.576,0.006,1.881,3.136
"'2016-08-02T21:00:00',",290.257,"101,106.12","2,951,522","28,963,220",290.66,0.006,2.165,3.116
"'2016-08-02T22:00:00',",290.264,"101,084.76","2,951,522","30,409,786",290.748,0.006,2.394,3.074
"'2016-08-02T23:00:00',",290.253,"101,062.41","2,951,522","31,854,344",290.796,0.006,2.61,3.145
"'2016-08-03T00:00:00',",290.243,"101,073.56","2,951,522","33,299,297",290.836,0.006,2.899,3.197
"'2016-08-03T01:00:00',",290.148,"101,029.04",0,"1,445,552.06",290.825,0,3.002,3.297
"'2016-08-03T02:00:00',",290.093,"100,977.39",0,"2,890,882.25",290.804,0,2.84,3.522
"'2016-08-03T03:00:00',",290.066,"100,952.35",0,"4,334,777.31",290.714,0,2.825,3.63
"'2016-08-03T04:00:00',",290.099,"100,918.79",0,"5,776,720.75",290.588,0.001,2.804,3.549
"'2016-08-03T05:00:00',",290.178,"100,899.33","6,600","7,219,010.50",290.623,0.001,2.732,3.634
"'2016-08-03T06:00:00',",290.264,"100,898.04","50,346","8,661,982",290.873,0.001,2.698,3.78
"'2016-08-03T07:00:00',",290.765,"100,848.88","214,034","10,115,069",291.576,0.001,3.055,3.909
"'2016-08-03T08:00:00',",290.817,"100,870.72","406,990","11,570,331",291.762,0.001,3.175,4.113
"'2016-08-03T09:00:00',",290.876,"100,845.47","713,240","13,028,356",291.898,0.001,3.367,4.478
"'2016-08-03T10:00:00',",290.931,"100,878.23","1,002,060","14,485,141",292.032,0.001,3.538,4.244
"'2016-08-03T11:00:00',",291.015,"100,869.82","1,482,818","15,937,341",292.087,0.002,4.797,4.646
"'2016-08-03T12:00:00',",290.808,"100,864.47","2,184,150","17,361,254",292.544,0.002,5.724,4.486
"'2016-08-04T10:00:00',",286.267,"100,943.66","4,294,440","12,461,433",292.105,0,4.865,4.581
"'2016-08-06T00:00:00',",286.441,"102,222.40","19,008,370","29,290,364",287.382,0.001,1.707,0.849
"'2016-08-06T01:00:00',",286.298,"102,222.31",0,"1,154,632.25",287.148,0,1.642,1.186
"'2016-08-06T02:00:00',",286.146,"102,207.88",0,"2,310,475.13",287.048,0,1.606,1.397
"'2016-08-06T03:00:00',",285.896,"102,227.65",0,"3,439,201.75",286.924,0,1.745,1.495
"'2016-08-06T04:00:00',",285.712,"102,226.01",0,"4,557,809.81",286.8,0,1.69,1.699
"'2016-08-06T05:00:00',",286.043,"102,231.77","64,423","5,728,537.50",287.113,0,1.555,1.782
"'2016-08-06T06:00:00',",286.834,"102,264.83","403,706","6,919,912",288.139,0,1.553,1.754
"'2016-08-06T07:00:00',",288.06,"102,344.63","824,300","8,259,492",289.734,0,2.379,2.237
"'2016-08-06T08:00:00',",288.28,"102,401.56","1,263,272","9,643,432",290.293,0,2.469,2.093
"'2016-08-06T09:00:00',",288.502,"102,425.97","1,746,566","11,000,864",290.847,0,2.419,2.46
"'2016-08-06T10:00:00',",288.765,"102,406.25","2,710,338","12,384,034",291.846,0,2.812,2.845
"'2016-08-06T11:00:00',",288.64,"102,405.78","4,232,716","13,750,513",292.871,0.001,3.386,1.941
"'2016-08-06T12:00:00',",287.784,"102,425.92","5,979,344","15,101,183",292.358,0.001,4.568,0.083
"'2016-08-06T13:00:00',",287.68,"102,497.52","7,867,152","16,418,203",292.792,0.001,3.806,-1.732
"'2016-08-06T14:00:00',",287.051,"102,505.52","9,500,954","17,754,598",293.272,0.001,3.322,-2.739
"'2016-08-06T15:00:00',",286.507,"102,540.50","11,070,352","19,028,496",293.521,0.001,3.153,-2.728
"'2016-08-06T16:00:00',",286.348,"102,580.20","12,446,346","20,267,048",293.391,0.001,3.167,-2.674
"'2016-08-06T17:00:00',",285.952,"102,626.12","13,487,280","21,486,826",292.814,0.001,2.911,-2.378
"'2016-08-06T18:00:00',",286.075,"102,679.90","14,141,508","22,654,064",291.971,0.001,2.319,-1.68
"'2016-08-06T19:00:00',",285.382,"102,730.11","14,355,806","23,790,706",290.703,0.001,2.119,-1.134
"'2016-08-06T20:00:00',",285.312,"102,780.55","14,359,498","24,899,737",289.418,0.001,2.006,-0.558
"'2016-08-06T21:00:00',",285.323,"102,793.54","14,359,498","25,997,304",288.389,0.001,1.978,-0.021
"'2016-08-06T22:00:00',",285.3,"102,804.24","14,359,498","27,092,081",287.395,0.001,1.814,0.524
"'2016-08-06T23:00:00',",285.026,"102,741.42","14,359,498","28,193,998",286.625,0.001,1.457,1.319
"'2016-08-07T00:00:00',",284.762,"102,732.47","14,359,498","29,303,444",286.321,0.001,1.255,1.718
"'2016-08-07T03:00:00',",284.476,"102,633.68",0,"3,387,975.56",286.849,0,1.463,2.483
"'2016-08-07T04:00:00',",284.484,"102,604.41",0,"4,533,736.81",287.037,0,1.517,2.656
"'2016-08-07T05:00:00',",284.71,"102,590.76","66,987","5,687,726.50",287.387,0,1.581,2.732
"'2016-08-07T10:00:00',",288.289,"102,463.96","6,961,512","11,774,336",294.013,0,3.345,4.239
"'2016-08-07T11:00:00',",289.24,"102,399.36","8,877,060","13,144,349",294.884,0,4.405,3.956
"'2016-08-07T12:00:00',",289.895,"102,366.84","10,181,396","14,569,453",295.186,0,4.641,3.466
"'2016-08-07T13:00:00',",290.308,"102,299.09","11,128,106","16,058,771",295.426,0,4.466,3.005
"'2016-08-07T14:00:00',",290.878,"102,247.23","11,900,862","17,565,491",295.658,0,3.573,2.406
"'2016-08-07T15:00:00',",291.149,"102,213.55","12,910,058","19,028,735",296.199,0,3.646,2.58
"'2016-08-07T16:00:00',",291.392,"102,166.86","13,750,044","20,453,603",296.048,0,3.791,2.678
"'2016-08-07T17:00:00',",291.446,"102,116.56","14,452,068","21,859,489",295.622,0,3.798,2.704
"'2016-08-07T18:00:00',",291.197,"102,099.59","14,816,826","23,233,420",294.892,0,3.567,2.656
"'2016-08-07T19:00:00',",290.204,"102,046.30","14,956,648","24,650,880",294.41,0,2.804,2.759
"'2016-08-07T20:00:00',",290.064,"102,026.30","14,958,678","25,991,397",293.667,0,2.933,2.672
"'2016-08-07T21:00:00',",290.017,"101,993.89","14,958,678","27,340,384",293.245,0,3.263,2.561
"'2016-08-11T11:00:00',",285.601,"101,923.06","2,029,586","12,874,824",287.311,0.002,3.009,4.851
"'2016-08-11T12:00:00',",285.834,"101,927.54","2,458,380","14,216,933",287.484,0.003,3.708,4.77
"'2016-08-11T13:00:00',",285.897,"101,909.34","2,759,056","15,567,672",287.399,0.003,3.837,4.088
"'2016-08-11T14:00:00',",286.12,"101,884.21","2,969,386","16,923,982",287.344,0.004,3.556,3.338
"'2016-08-11T15:00:00',",286.401,"101,896.38","3,162,628","18,283,649",287.479,0.004,3.686,2.905
"'2016-08-11T16:00:00',",286.653,"101,878.71","3,273,378","19,640,590",287.569,0.004,3.052,2.565
"'2016-08-11T17:00:00',",286.74,"101,851.15","3,376,728","21,001,738",287.748,0.005,2.973,2.393
"'2016-08-11T18:00:00',",286.829,"101,858.23","3,408,670","22,372,499",287.866,0.005,2.945,2.242
"'2016-08-11T19:00:00',",286.762,"101,868.76","3,423,016","23,743,834",287.967,0.005,2.642,1.96
"'2016-08-11T20:00:00',",286.901,"101,887.34","3,423,016","25,117,121",288.154,0.005,2.746,1.724
"'2016-08-11T21:00:00',",287.089,"101,891.37","3,423,016","26,496,998",288.326,0.005,2.646,1.784
"'2016-08-11T22:00:00',",287.342,"101,880.49","3,423,016","27,883,643",288.501,0.005,2.718,1.95
"'2016-08-11T23:00:00',",287.641,"101,862.31","3,423,016","29,270,609",288.787,0.005,3.146,1.818
"'2016-08-12T00:00:00',",287.991,"101,875.33","3,423,016","30,663,874",289.268,0.005,3.679,1.101
"'2016-08-12T01:00:00',",288.311,"101,888.95",0,"1,399,580",289.739,0,3.909,0.107
"'2016-08-12T02:00:00',",288.547,"101,911.03",0,"2,802,460.63",289.995,0,3.78,-0.488
"'2016-08-12T03:00:00',",288.708,"101,944.90",0,"4,205,822.38",290.074,0,3.535,-0.562
"'2016-08-12T04:00:00',",288.793,"101,949.19",0,"5,595,585.25",289.974,0,3.351,-0.404
"'2016-08-12T05:00:00',",288.927,"102,016.18","19,128","6,999,157",290.031,0,3.259,-0.158
"'2016-08-12T06:00:00',",289.144,"102,063.76","156,614","8,391,458",290.285,0,3.221,0.232
"'2016-08-12T07:00:00',",289.67,"102,090.69","535,698","9,790,792",290.874,0,3.547,0.535
"'2016-08-12T08:00:00',",289.514,"102,135.86","1,237,192","11,163,555",291.742,0,4.786,-0.042
"'2016-08-16T08:00:00',",285.726,"102,028.54","2,587,594","8,779,713",289.572,0,-2.609,-1.592
"'2016-08-16T09:00:00',",285.421,"102,001","4,539,782","9,894,208",291.105,0,-2.938,-1.961
"'2016-08-16T10:00:00',",284.948,"101,985.94","6,929,614","11,019,239",292.19,0,-3.156,-2.035
"'2016-08-16T11:00:00',",284.859,"101,943.32","9,469,002","12,173,791",292.883,0,-3.008,-1.957
"'2016-08-16T12:00:00',",284.894,"101,887.41","12,021,830","13,367,396",293.391,0,-2.832,-2.014
"'2016-08-16T13:00:00',",284.982,"101,865.40","14,539,038","14,592,182",293.822,0,-2.721,-2.09
"'2016-08-16T14:00:00',",284.994,"101,809.04","16,896,448","15,816,097",294.073,0,-2.786,-2.193
"'2016-08-16T15:00:00',",284.84,"101,772.25","18,974,930","17,006,498",294.094,0,-2.852,-2.256
"'2016-08-21T12:00:00',",287.137,"101,407.25","4,691,726","15,542,309",291.633,0.002,4.395,3.171
"'2016-08-21T13:00:00',",287.303,"101,455.28","6,315,392","16,891,702",292.362,0.002,4.684,2.376
"'2016-08-22T08:00:00',",288.854,"102,207.25","82,530","10,502,216",289.681,0.005,2.442,2.989
"'2016-08-22T09:00:00',",289.57,"102,236.97","347,944","11,925,999",290.606,0.005,2.576,2.777
"'2016-08-22T10:00:00',",289.973,"102,292.65","689,422","13,360,271",291.349,0.005,2.89,2.666
"'2016-08-22T11:00:00',",290.167,"102,316.52","1,090,524","14,800,196",291.906,0.005,2.989,2.233
"'2016-08-22T12:00:00',",290.547,"102,362.78","1,691,722","16,243,806",292.478,0.005,2.691,2.066
"'2016-08-24T10:00:00',",290.578,"102,097.67","6,387,188","12,286,086",298.559,0,-1.682,2.596
"'2016-08-25T09:00:00',",291.185,"101,611.40","4,072,460","11,278,492",298.565,0,-1.787,2.889
"'2016-08-25T10:00:00',",291.215,"101,569.13","6,282,898","12,592,916",299.926,0,-1.656,2.935
"'2016-08-25T11:00:00',",291.217,"101,531.77","8,771,170","13,923,966",301.173,0,-1.659,2.892
"'2016-08-25T12:00:00',",291.265,"101,476.25","11,371,480","15,272,365",302.171,0,-1.599,2.811
"'2016-08-25T13:00:00',",291.36,"101,444.21","13,909,352","16,638,823",302.923,0,-1.317,2.62
"'2016-08-25T14:00:00',",291.496,"101,434.86","16,216,250","18,023,287",303.415,0,-1.049,2.415
"'2016-08-25T15:00:00',",291.694,"101,387.76","18,146,880","19,420,917",303.579,0,-0.988,2.232
"'2016-08-25T16:00:00',",292.608,"101,351.11","19,592,778","20,825,039",303.315,0,-1.079,1.711
"'2016-08-25T17:00:00',",293.836,"101,316.40","20,496,150","22,230,793",302.372,0,-1.319,1.153
"'2016-08-25T18:00:00',",293.007,"101,309.22","20,878,194","23,628,078",300.789,0,-1.842,1.36
"'2016-08-25T19:00:00',",291.88,"101,303.57","20,918,018","24,997,713",299.158,0,-1.834,1.767
"'2016-08-25T20:00:00',",291.272,"101,315.25","20,918,018","26,354,851",297.991,0,-1.505,2.179
"'2016-08-25T21:00:00',",291.033,"101,310.17","20,918,018","27,699,939",297.179,0,-1.015,2.462
"'2016-08-25T22:00:00',",291.105,"101,291.96","20,918,018","29,030,784",296.472,0,-0.615,2.562
"'2016-08-25T23:00:00',",291.333,"101,299.22","20,918,018","30,347,611",295.855,0,-0.313,2.597
"'2016-08-26T00:00:00',",291.548,"101,290.32","20,918,018","31,652,066",295.303,0,-0.116,2.574
"'2016-08-26T01:00:00',",291.621,"101,275.42",0,"1,303,301.38",294.833,0,0.009,2.517
"'2016-08-26T02:00:00',",291.649,"101,284.43",0,"2,605,945.38",294.408,0,0.295,2.381
"'2016-08-26T03:00:00',",291.624,"101,313.30",0,"3,913,066.63",293.962,0,0.815,2.065
"'2016-08-26T04:00:00',",291.628,"101,320.71",0,"5,233,376.38",293.519,0,1.089,1.685
"'2016-08-26T05:00:00',",291.539,"101,370.62","5,256","6,541,635.25",292.941,0,1.101,1.453
"'2016-08-26T06:00:00',",292.226,"101,408.09","230,352","7,852,838",293.237,0,0.747,0.85
"'2016-08-26T07:00:00',",293.2,"101,437.06","933,830","9,187,309",295.676,0,1.171,-0.771
"'2016-08-26T08:00:00',",293.453,"101,474.61","2,168,164","10,540,732",296.867,0,0.796,-0.733
"'2016-08-26T09:00:00',",293.766,"101,546.23","3,878,632","11,909,563",298.278,0,1.182,-0.755
"'2016-08-26T10:00:00',",293.749,"101,604.73","5,943,902","13,326,561",299.334,0,1.926,-1.613
"'2016-08-26T11:00:00',",293.389,"101,641.64","8,283,842","14,729,085",299.8,0,1.896,-2.388
"'2016-08-26T12:00:00',",292.868,"101,656.38","10,673,392","16,138,660",300.059,0,1.641,-2.669
"'2016-08-26T13:00:00',",292.219,"101,688.11","13,089,690","17,540,292",300.32,0,1.286,-2.71
"'2016-08-26T14:00:00',",291.754,"101,684.54","15,338,766","18,940,966",300.365,0,0.921,-2.62
